return_level,return_periods,year,y,lon,lat,type
18.2779614254729,5,1992,10.8,11.3759,59.1231,bgev_base
22.1869934560186,10,1992,10.8,11.3759,59.1231,bgev_base
27.5515966193589,25,1992,10.8,11.3759,59.1231,bgev_base
31.8631290326495,50,1992,10.8,11.3759,59.1231,bgev_base
36.4443506372631,100,1992,10.8,11.3759,59.1231,bgev_base
41.3286171755902,200,1992,10.8,11.3759,59.1231,bgev_base
10.2581218161989,2,1992,10.8,11.3759,59.1231,gev
14.6618463717862,5,1992,10.8,11.3759,59.1231,gev
18.355731816479,10,1992,10.8,11.3759,59.1231,gev
24.1479767191956,25,1992,10.8,11.3759,59.1231,gev
29.4386489662928,50,1992,10.8,11.3759,59.1231,gev
35.7098706211007,100,1992,10.8,11.3759,59.1231,gev
43.1641075690679,200,1992,10.8,11.3759,59.1231,gev
11.651031637412,2,1994,17.4,11.3759,59.1231,bgev_year
16.9499949817103,5,1994,17.4,11.3759,59.1231,bgev_year
20.7401120657165,10,1994,17.4,11.3759,59.1231,bgev_year
25.8757817108892,25,1994,17.4,11.3759,59.1231,bgev_year
29.9529210223598,50,1994,17.4,11.3759,59.1231,bgev_year
34.2399937668157,100,1994,17.4,11.3759,59.1231,bgev_year
38.7633364039651,200,1994,17.4,11.3759,59.1231,bgev_year
12.841629936853,2,1994,17.4,11.3759,59.1231,bgev_base
18.2257796199566,5,1994,17.4,11.3759,59.1231,bgev_base
22.1266478318552,10,1994,17.4,11.3759,59.1231,bgev_base
27.4745423137827,25,1994,17.4,11.3759,59.1231,bgev_base
31.76837893364,50,1994,17.4,11.3759,59.1231,bgev_base
36.3269387803916,100,1994,17.4,11.3759,59.1231,bgev_base
41.1829561450953,200,1994,17.4,11.3759,59.1231,bgev_base
9.98176504372703,2,1994,17.4,11.3759,59.1231,gev
13.967514013477,5,1994,17.4,11.3759,59.1231,gev
17.2711215220539,10,1994,17.4,11.3759,59.1231,gev
22.3945867135595,25,1994,17.4,11.3759,59.1231,gev
